timestamp,value,status
2024-01-01 00:00:00,1.38,OK
2024-01-01 00:15:00,1.27,OK
2024-01-01 00:30:00,1.35,OK
2024-01-01 00:45:00,1.5,OK
2024-01-01 01:00:00,1.49,OK
2024-01-01 01:15:00,1.23,OK
2024-01-01 01:30:00,1.45,OK
2024-01-01 01:45:00,1.37,OK
2024-01-01 02:00:00,1.4,OK
2024-01-01 02:15:00,1.48,OK
2024-01-01 02:30:00,1.47,OK
2024-01-01 02:45:00,1.63,WARN
2024-01-01 03:00:00,1.59,OK
2024-01-01 03:15:00,1.55,OK
2024-01-01 03:30:00,1.61,WARN
2024-01-01 03:45:00,1.62,OK
2024-01-01 04:00:00,1.77,OK
2024-01-01 04:15:00,1.62,OK
2024-01-01 04:30:00,1.7,OK
2024-01-01 04:45:00,1.61,OK
2024-01-01 05:00:00,1.47,OK
2024-01-01 05:15:00,1.81,OK
2024-01-01 05:30:00,1.86,OK
2024-01-01 05:45:00,1.72,OK
2024-01-01 06:00:00,2.05,OK
2024-01-01 06:15:00,1.71,OK
2024-01-01 06:30:00,1.88,OK
2024-01-01 06:45:00,1.88,OK
2024-01-01 07:00:00,2.08,OK
2024-01-01 07:15:00,2.1,OK
2024-01-01 07:30:00,2.0,OK
2024-01-01 07:45:00,2.05,OK
2024-01-01 08:00:00,1.94,OK
2024-01-01 08:15:00,1.86,OK
2024-01-01 08:30:00,2.05,WARN
2024-01-01 08:45:00,2.13,OK
2024-01-01 09:00:00,2.26,OK
2024-01-01 09:15:00,-22.72,OK
2024-01-01 09:30:00,2.15,OK
2024-01-01 09:45:00,2.19,OK
2024-01-01 10:00:00,2.14,OK
2024-01-01 10:15:00,2.13,OK
2024-01-01 10:30:00,2.12,OK
2024-01-01 10:45:00,2.51,OK
2024-01-01 11:00:00,2.29,WARN
2024-01-01 11:15:00,2.33,OK
2024-01-01 11:30:00,2.27,WARN
2024-01-01 11:45:00,2.5,OK
2024-01-01 12:00:00,2.29,OK
2024-01-01 12:15:00,2.45,OK
2024-01-01 12:30:00,2.41,OK
2024-01-01 12:45:00,2.57,OK
2024-01-01 13:00:00,2.5,OK
2024-01-01 13:15:00,2.46,OK
2024-01-01 13:30:00,2.6,OK
2024-01-01 13:45:00,2.68,OK
2024-01-01 14:00:00,2.66,WARN
